Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
169, Trần Văn Đang,Khuê Trung,cẩm lệ,4.2,75.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,2,"16.01969,108.20764"
170, Man Thiện,Hòa Thuận Tây,hải châu,8.9,96.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.2,3,"16.05362,108.20609"
171, Hồ Huân Nghiệp,Mỹ An,ngũ hành sơn,5.1,90.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,1,"16.03889,108.23781"
172, Bùi Dương Lịch,Nại Hiên Đông,sơn trà,5.2,100.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.0895,108.23283"
173, Lưu Nhân Chú,Khuê Trung,cẩm lệ,3.4,70.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,14.0,2,"16.02025,108.20802"
174, An Mỹ 3,An Hải Tây,sơn trà,4.2,57.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.4,13.0,1,"16.06433,108.23117"
175, Lưu Nhân Chú,Khuê Trung,cẩm lệ,3.4,70.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,14.0,2,"16.02025,108.20802"
177, Nguyễn Thuật,Hòa An,cẩm lệ,3.15,90.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,1,"16.0521,108.17708"
178, Lê Chân,Nại Hiên Đông,sơn trà,5.1,80.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,16.0,2,"16.0907,108.23871"
179, Trần Phú,Phước Ninh,hải châu,41.0,158.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,21.0,3,"16.07078,108.22397"
180, An Nhơn 1,An Hải Bắc,sơn trà,6.45,73.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.7,15.4,3,"16.07063,108.23322"
181, Đoàn Trần Nghiệp,Hòa Khánh Bắc,liên chiểu,6.0,98.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.0693,108.14883"
182, Nguyễn Xuân Khoát,An Hải Bắc,sơn trà,9.5,110.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,3,"16.06982,108.23675"
183, Nguyễn Đỗ Cung,Hòa Minh,liên chiểu,3.85,83.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3,"16.06062,108.17027"
184, Núi Thành,Hòa Thuận Đông,hải châu,24.0,123.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,7.1,17.8,3,"16.03194,108.22279"
185, An Mỹ,An Hải Tây,sơn trà,4.2,56.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,14.0,1,"16.06265,108.23121"
186, An Nhơn 3,An Hải Bắc,sơn trà,8.5,117.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.3,22.0,2,"16.06963,108.23429"
187, Nguyễn Lương Bằng,Hòa Hiệp Nam,liên chiểu,5.3,14.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.9,36.0,1,"16.08075,108.14674"
188, Hàn Thuyên,Hòa Cường Bắc,hải châu,7.8,11.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,25.0,1,"16.03936,108.21621"
189, Nước Mặn 2,Khuê Mỹ,ngũ hành sơn,5.1,95.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,2,"16.02124,108.25063"
190, An Trung 8,An Hải Tây,sơn trà,3.9,58.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,11.0,2,"16.05655,108.23464"
191, Xuân Thiều 11,Hòa Hiệp Nam,liên chiểu,3.6,100.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,1,"16.10256,108.13604"
193, Ngô Quyền,An Hải Tây,sơn trà,12.5,87.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.42,2,"16.09631,108.24529"
194, Thái Thị Bôi,Chính Gián,thanh khê,2.95,45.0,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,11.5,3,"16.06831,108.1972"
195, Nại Nghĩa 4,Nại Hiên Đông,sơn trà,3.6,50.0,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,12.5,3,"16.08561,108.23101"
196, Nguyễn Thanh Năm,An Khê,thanh khê,3.0,78.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.6,1,"16.03579,108.19075"
197, Hàn Thuyên,Hòa Cường Bắc,hải châu,8.4,100.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.03936,108.21621"
198, Nguyễn Thanh Năm,An Khê,thanh khê,3.1,75.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,1,"16.03579,108.19075"
199, Gò Nãy 9,Hòa Minh,liên chiểu,3.8,85.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,2,"16.08094,108.1366"
200, Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,5.2,125.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,2,"16.02276,108.2069"
201, Cao Bá Nhạ,Mân Thái,sơn trà,4.0,75.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,2,"16.08803,108.2403"
202, Sơn Thủy 2,Hòa Hải,ngũ hành sơn,4.8,115.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,23.0,2,"16.01371,108.25355"
203, Hoàng Đình Ái,Hòa Xuân,cẩm lệ,4.35,125.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,2,"15.99713,108.21506"
204, Mân Quang 4,Thọ Quang,sơn trà,3.9,110.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,1,"16.10372,108.24584"
205, Mai Lão Bạng,Thuận Phước,hải châu,7.3,93.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,7.79,11.79,3,"16.08414,108.21865"
206, Nguyễn Huy Tự,Hòa Minh,liên chiểu,2.95,7.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.0,2,"16.08181,108.15984"
207, Đặng Thùy Trâm,Hòa Thuận Tây,hải châu,4.6,79.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.2,16.7,2,"16.05255,108.20845"
208, Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,7.8,153.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,30.4,,3,"16.09447,108.22971"
209, Chu Mạnh Trinh,Khuê Trung,cẩm lệ,5.0,75.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3,"16.03377,108.21313"
210, Trần Cao Vân,Xuân Hà,thanh khê,11.2,105.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,6.6,,3,"16.0738,108.20758"
227, Hoàng Diệu,Bình Hiên,hải châu,5.2,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,10.0,3,"16.05467,108.21737"
238, 2/9,Thuận Phước,hải châu,2.6,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,13.0,1,"16.08311,108.22194"
268, 2/9,Thuận Phước,hải châu,2.8,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,10.0,7.0,2,"16.08311,108.22194"
302, Tôn Đức Thắng,Hòa Minh,liên chiểu,2.5,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,3.0,5,"16.07067,108.15084"
335, Nguyễn Giản Thanh,An Khê,thanh khê,6.95,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,52.0,,3,"16.05524,108.1861"
336, Phan Tứ,Mỹ An,ngũ hành sơn,14.7,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,20.0,,1,"16.04607,108.24456"
337, An Dương Vương,Mỹ An,ngũ hành sơn,11.0,614.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,7,"16.04387,108.23749"
338, An Dương Vương,Mỹ An,ngũ hành sơn,10.9,614.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,7,"16.04387,108.23749"
339, Dương Trí Trạch,An Hải Bắc,sơn trà,12.3,41.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,5,"16.07451,108.24024"
341, Hoài Thanh,Mỹ An,ngũ hành sơn,12.95,160.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,16.0,3,"16.04427,108.23848"
342, Đinh Lễ,Mân Thái,sơn trà,3.6,75.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,2,"16.08749,108.23905"
343, Đỗ Bá,Mỹ An,ngũ hành sơn,11.5,8.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,14.0,3,"16.05193,108.24696"
344, Nguyễn Văn Thoại,Mỹ An,ngũ hành sơn,20.8,130.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.4,23.5,2,"16.05129,108.24253"
345, Nguyễn Nghiêm,Hòa Khê,thanh khê,8.7,68.0,Không,Nhà mặt tiền,Không có,6.0,,4,"16.062,108.1909"
346, Nguyễn Phước Nguyên,An Khê,thanh khê,6.2,93.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.05452,108.18347"
347, Hàn Mạc Tử,Thuận Phước,hải châu,7.0,55.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,,3,"16.08542,108.21743"
348, Thanh Thủy,Thanh Bình,hải châu,6.0,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,1,"16.08232,108.21374"
349, 3/2,Thuận Phước,hải châu,6.0,77.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,1,"16.08332,108.2223"
350, Núi Thành,Hòa Cường Nam,hải châu,7.2,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.03194,108.22279"
351, Đoàn Khuê,Khuê Mỹ,ngũ hành sơn,7.5,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.02914,108.24223"
352, Cần Giuộc,An Khê,thanh khê,6.95,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.05659,108.18494"
353, Tiên Sơn,Hòa Cường Nam,hải châu,6.9,8.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.02913,108.22021"
354, Vùng Trung 5,Hòa Hải,ngũ hành sơn,7.85,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,,2,"15.98977,108.26162"
355, Vùng Trung 3,Hòa Hải,ngũ hành sơn,7.9,185.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.5,,3,"15.99111,108.25972"
356, Khuê Mỹ Đông,Mỹ An,ngũ hành sơn,9.3,75.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.03956,108.24598"
357, Lê Thị Hồng Gấm,Hòa Cường Nam,hải châu,5.8,74.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,1,"16.03478,108.21788"
358, Dương Quảng Hàm,Khuê Trung,cẩm lệ,6.1,85.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.03387,108.21396"
359, Dương Quảng Hàm,Hòa Cường Bắc,hải châu,6.15,95.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.07505,108.22114"
360, Lê Thanh Nghị,Khuê Trung,cẩm lệ,6.5,116.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.02363,108.22377"
361, Thanh Thủy,Thanh Bình,hải châu,6.3,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,1,"16.08232,108.21374"
362, Lý Triện,An Khê,thanh khê,6.6,105.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.05945,108.18524"
363, Thái Thị Bôi,An Khê,thanh khê,6.6,115.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,,3,"16.06831,108.1972"
364, Tôn Đức Thắng,Hòa Minh,liên chiểu,24.99,330.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,,4,"16.07067,108.15084"
365, Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,5.4,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"16.04978,108.24072"
366, Tống Phước Phổ,Hòa Thuận Tây,hải châu,5.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3,"16.04524,108.22224"
367, Nguyễn Đăng Đạo,Hòa Thuận Tây,hải châu,5.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3,"16.03788,108.20817"
368, Nguyễn Đăng Đạo,Hòa Thuận Tây,hải châu,6.3,115.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.03788,108.20817"
369, Hoàng Đạo Thúy,Hòa Phát,cẩm lệ,5.2,140.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.02004,108.19732"
370, 17 Bình An,Hòa Cường Bắc,hải châu,6.9,115.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,,3,"16.03859,108.21706"
371, Phan Anh,Hòa Cường Bắc,hải châu,6.2,107.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.0364,108.21281"
372, Lương Nhữ Hộc,Hòa Cường Bắc,hải châu,6.8,95.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.04037,108.21179"
373, Núi Thành,Hòa Cường Bắc,hải châu,6.2,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.03194,108.22279"
374, Dương Quảng Hàm,Hòa Thuận Tây,hải châu,5.8,95.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.7,,3,"16.07505,108.22114"
375, Ông Ích Khiêm,Thanh Bình,hải châu,10.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,,3,"16.07838,108.21186"
376, Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,32.0,189.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,15.0,,6,"16.04978,108.24072"
377, Thanh Long,Thuận Phước,hải châu,8.7,115.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.5,,3,"16.08158,108.21386"
378, Thanh Thủy,Thuận Phước,hải châu,8.69,119.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.9,,3,"16.08232,108.21374"
379, Hải Hồ,Thuận Phước,hải châu,8.64,1.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.3,,3,"16.08023,108.21557"
380, Thanh Sơn,Thuận Phước,hải châu,8.7,129.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.6,,4,"16.08051,108.21372"
381, Hoàng Xuân Nhị,Hòa Cường Nam,hải châu,5.99,109.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.03424,108.21715"
382, Lê Văn Quý,An Hải Bắc,sơn trà,7.9,115.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,11.0,,3,"16.0722,108.23854"
383, Nguyễn Công Trứ,Phước Mỹ,sơn trà,4.5,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,,3,"16.06847,108.23054"
384, Nguyễn Công Trứ,Phước Mỹ,sơn trà,4.5,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,,3,"16.06847,108.23054"
385, Lý Tự Trọng,Hải Châu I,hải châu,5.8,68.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.5,,4,"16.07853,108.21389"
386, Lê Văn Hưu,Mỹ An,ngũ hành sơn,5.15,168.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.3,,2,"16.04094,108.23881"
387, Bà Huyện Thanh Quan,Mỹ An,ngũ hành sơn,5.15,186.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,,2,"16.04376,108.24501"
388, Ngũ Hành Sơn,Mỹ An,ngũ hành sơn,5.15,186.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,,2,"16,108.26000214"
389, Nguyễn Du,Thạch Thang,hải châu,5.3,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.2,,4,"16.07874,108.22068"
390, Nguyễn Chí Thanh,Hải Châu I,hải châu,5.5,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.5,,4,"16.07735,108.22031"
391, Lê Lợi,Thạch Thang,hải châu,5.59,65.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.3,,4,"16.0726,108.22022"
392, Tiên Sơn,Hòa Cường Bắc,hải châu,7.8,85.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3,"16.02913,108.22021"
393, Nguyễn Đăng Đạo,Hòa Thuận Tây,hải châu,5.95,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3,"16.03788,108.20817"
394, Lê Văn Hiến,Hòa Hải,ngũ hành sơn,7.3,175.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.5,,2,"15.97728,108.26048"
395, Phạm Huy Thông,Nại Hiên Đông,sơn trà,28.5,57.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,12.5,21.0,9,"16.09197,108.22876"
396, Đồng Phước Huyến,Hòa Quý,ngũ hành sơn,3.2,100.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,1,"15.98696,108.2365"
397, Nguyễn Sơn,Hòa Cường Nam,hải châu,7.6,87.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,6.25,15.0,3,"16.03095,108.22963"
398, Lê Văn Hiến,Khuê Mỹ,ngũ hành sơn,7.3,70.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,3.6,20.0,4,"15.97728,108.26048"
399, Phan Huy Ích,An Hải Tây,sơn trà,6.0,66.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,12.0,3,"16.05406,108.23438"
400, Đoàn Khuê,Khuê Mỹ,ngũ hành sơn,7.2,95.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,3,"16.02914,108.24223"
401, An Dương Vương,Mỹ An,ngũ hành sơn,6.4,100.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,22.0,3,"16.04387,108.23749"
402, Bùi Trang Chước,Hòa Xuân,cẩm lệ,5.7,100.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.02417,108.21229"
403, Nguyễn Tuân,An Hải Bắc,sơn trà,4.75,88.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.6,1,"16.08076,108.23252"
404, Nguyễn Hữu An,Nại Hiên Đông,sơn trà,29.5,57.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,12.5,21.0,9,"16.07103,108.24309"
405, Mẹ Thứ,Hòa Xuân,cẩm lệ,5.6,115.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,23.0,3,"16.00062,108.21767"
406, Phan Đình Thông,Hòa Hải,ngũ hành sơn,4.8,140.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,20.0,2,"15.98728,108.27111"
407, Lê Văn Hưu,Mỹ An,ngũ hành sơn,8.9,110.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,3,"16.04094,108.23881"
408, Minh Mạng,Hòa Quý,ngũ hành sơn,3.29,100.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.01664,108.25593"
409, Hà Mục,Khuê Trung,cẩm lệ,5.6,100.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.01918,108.19537"
410, Mẹ Thứ,Hòa Xuân,cẩm lệ,5.6,115.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,23.0,3,"16.00062,108.21767"
411, Trần Xuân Lê,Hòa Khê,thanh khê,6.0,100.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.059,108.18735"
412, Ông Ích Đường,Khuê Trung,cẩm lệ,5.2,83.0,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,7.6,14.0,3,"16.01707,108.20465"
413, Cù Chính Lan,Hòa Khê,thanh khê,3.7,45.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,9.0,3,"16.0714016,108.19120789"
414, Lê Văn Hưu,Mỹ An,ngũ hành sơn,5.25,185.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,31.0,2,"16.04094,108.23881"
415, Lê Văn Hưu,Mỹ An,ngũ hành sơn,5.35,185.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,30.0,2,"16.04094,108.23881"
416, Bình Than,Thọ Quang,sơn trà,2.5,7.0,Tây Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,1,"16.09449,108.2414"
417, Hà Huy Tập,Hòa Khê,thanh khê,3.18,63.0,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,3.5,18.0,3,"16.0704,108.19171"
418, Lê Văn Hưu,Mỹ An,ngũ hành sơn,5.25,185.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,31.0,2,"16.04094,108.23881"
419, Nguyễn Văn Thoại,Mỹ An,ngũ hành sơn,8.2,108.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,21.0,3,"16.05129,108.24253"
420, Nguyễn Duy Trinh,Hòa Hải,ngũ hành sơn,2.45,135.0,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,27.0,3,"15.99029,108.26711"
421, Phan Thanh,Hải Châu II,hải châu,3.4,67.0,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,13.0,2,"16.05403,108.22089"
422, Nguyễn Văn Côn,An Hải Đông,sơn trà,4.95,45.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,11.0,3,"16.0639,108.233"
423, Hóa Quê Trung,Hòa Cường Bắc,hải châu,7.5,120.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,20.0,4,"16.04329,108.21986"
424, Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,2.15,94.0,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,,1,"16.01108,108.19622"
425, Lê Độ,Tân Chính,thanh khê,1.95,40.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,2,"16.07062,108.20136"
426, Tôn Đản,Hòa Phát,cẩm lệ,2.85,100.0,Không,Nhà trong hẻm,Không có,5.5,,2,"16.04509,108.18114"
427, Hải Phòng,Tân Chính,thanh khê,2.85,50.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,,2,"16.07085,108.20893"
428, Nguyễn Thành Hãn,Hòa Thuận Tây,hải châu,8.7,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,,2,"16.04617,108.20828"
429, 2/9,Hải Châu I,hải châu,4.7,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"16.08311,108.22194"
430, Đào Duy Từ,Bình Hiên,hải châu,5.2,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,,3,"16.06813,108.21305"
431, Đỗ Quang,Bình Thuận,hải châu,3.1,50.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,,2,"16.07505,108.22114"
432, Hóa Mỹ,Khuê Trung,cẩm lệ,4.7,7.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"16.03008,108.21299"
433, Yên Khê 2,An Khê,thanh khê,3.7,50.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,,3,"16.0714016,108.19120789"
434, Mẹ Nhu,An Khê,thanh khê,3.3,55.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,,3,"16.0669,108.17988"
435, Hồ Biểu Chánh,Hòa Cường Bắc,hải châu,5.2,85.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,,"16.03502,108.21987"
436, Lê Cơ,Hòa Cường Nam,hải châu,2.5,50.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,8.0,,2,"16.04241,108.21996"
437, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,4.32,97.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.3,,2,"16.03954,108.21035"
438, Cù Chính Lan,An Khê,thanh khê,4.2,86.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,3,"16.0714016,108.19120789"
439, An Thượng 18,Khuê Mỹ,ngũ hành sơn,4.55,55.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,,2,"16.04836,108.24055"
440, Đỗ Quang,Vĩnh Trung,thanh khê,2.9,50.0,Không,Nhà trong hẻm,Không có,5.0,10.0,2,"16.06012,108.21207"
441, Trưng Nhị,Hòa Thuận Tây,hải châu,3.29,51.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.6,11.0,2,"16.04512,108.21105"
442, Trường Chinh,Hòa An,cẩm lệ,3.3,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,2,"16.00735,108.19196"
443, Thái Thị Bôi,Chính Gián,thanh khê,2.55,65.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,,2,"16.06831,108.1972"
444, Trường Chinh,Khuê Trung,cẩm lệ,3.03,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,2,"16.00735,108.19196"
445, Đống Đa,Thuận Phước,hải châu,3.58,44.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,3,"16.07503,108.21489"
446, Bằng Lăng 1,An Hải Tây,sơn trà,11.0,100.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.08923,108.24709"
447, Lý Tự Trọng,Hải Châu I,hải châu,12.8,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"16.07853,108.21389"
448, Trần Hưng Đạo,An Hải Bắc,sơn trà,34.0,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,4,"16.08968,108.22756"
449, Lê Hữu Khánh,Khuê Mỹ,ngũ hành sơn,14.0,,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,20.0,3,"16.02931,108.2398"
450, Trần Hưng Đạo,An Hải Bắc,sơn trà,39.0,125.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,4,"16.08968,108.22756"
451, Hoàng Xuân Hãn,Khuê Trung,cẩm lệ,10.4,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,,"16.01426,108.20745"
452, Lê Duẩn,Thạc Gián,thanh khê,21.0,7.0,Không,Nhà mặt tiền,Không có,5.2,,3,"16.06965,108.2106"
453, Nguyễn Văn Linh,Nam Dương,hải châu,,5.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,25.0,2,"16.06072,108.21685"
