Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors
 Hàn Thuyên,Hòa Cường Bắc,hải châu,8.4,100.0,Bắc,True,True,5.0,20.0,3
 Nguyễn Thanh Năm,An Khê,thanh khê,3.1,75.0,Đông Bắc,True,True,5.0,15.0,1
 Gò Nãy 9,Hòa Minh,liên chiểu,3.8,85.0,Đông Nam,True,True,5.0,17.0,2
 Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,5.2,125.0,Đông Nam,True,True,5.0,25.0,2
 Cao Bá Nhạ,Mân Thái,sơn trà,4.0,75.0,Đông Nam,True,True,5.0,15.0,2
 Sơn Thủy 2,Hòa Hải,ngũ hành sơn,4.8,115.0,Tây Bắc,True,True,5.0,23.0,2
 Hoàng Đình Ái,Hòa Xuân,cẩm lệ,4.35,125.0,Đông,True,True,5.0,25.0,2
 Mân Quang 4,Thọ Quang,sơn trà,3.9,110.0,Tây,True,True,5.0,22.0,1
 Mai Lão Bạng,Thuận Phước,hải châu,7.3,93.0,Nam,True,True,7.79,11.79,3
 Nguyễn Huy Tự,Hòa Minh,liên chiểu,2.95,7.0,Tây Nam,True,True,4.5,16.0,2
 Đặng Thùy Trâm,Hòa Thuận Tây,hải châu,4.6,79.0,Tây Nam,False,True,4.2,16.7,2
 Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,7.8,153.0,Đông Nam,True,True,30.4,5.032894736842105,3
 Chu Mạnh Trinh,Khuê Trung,cẩm lệ,5.0,75.0,Tây,True,True,4.5,16.666666666666668,3
 Trần Cao Vân,Xuân Hà,thanh khê,11.2,105.0,Tây,True,True,6.6,15.90909090909091,3
 Hoàng Diệu,Bình Hiên,hải châu,5.2,70.0,Không,False,True,7.0,10.0,3
 2/9,Thuận Phước,hải châu,2.6,80.0,Không,False,True,5.0,13.0,1
 2/9,Thuận Phước,hải châu,2.8,70.0,Không,False,True,10.0,7.0,2
 Tôn Đức Thắng,Hòa Minh,liên chiểu,2.5,60.0,Không,True,True,4.0,3.0,5
 Nguyễn Giản Thanh,An Khê,thanh khê,6.95,110.0,Không,True,True,52.0,2.1153846153846154,3
 Phan Tứ,Mỹ An,ngũ hành sơn,14.7,90.0,Không,True,True,20.0,4.5,1
 An Dương Vương,Mỹ An,ngũ hành sơn,11.0,614.0,Không,True,True,5.0,20.0,7
 An Dương Vương,Mỹ An,ngũ hành sơn,10.9,614.0,Tây Nam,True,True,5.0,20.0,7
 Dương Trí Trạch,An Hải Bắc,sơn trà,12.3,41.0,Không,True,True,5.0,15.0,5
 Hoài Thanh,Mỹ An,ngũ hành sơn,12.95,160.0,Tây Nam,True,True,10.0,16.0,3
 Đinh Lễ,Mân Thái,sơn trà,3.6,75.0,Đông Bắc,True,True,5.0,17.0,2
 Đỗ Bá,Mỹ An,ngũ hành sơn,11.5,8.0,Đông Nam,True,True,5.0,14.0,3
 Nguyễn Văn Thoại,Mỹ An,ngũ hành sơn,20.8,130.0,Bắc,True,True,5.4,23.5,2
 Nguyễn Nghiêm,Hòa Khê,thanh khê,8.7,68.0,Không,True,False,6.0,11.333333333333334,4
 Nguyễn Phước Nguyên,An Khê,thanh khê,6.2,93.0,Không,True,True,5.0,18.6,3
 Hàn Mạc Tử,Thuận Phước,hải châu,7.0,55.0,Không,True,True,7.0,7.857142857142857,3
 Thanh Thủy,Thanh Bình,hải châu,6.0,70.0,Không,True,True,4.5,15.555555555555555,1
 3/2,Thuận Phước,hải châu,6.0,77.0,Không,True,True,5.0,15.4,1
 Núi Thành,Hòa Cường Nam,hải châu,7.2,90.0,Không,True,True,5.0,18.0,3
 Đoàn Khuê,Khuê Mỹ,ngũ hành sơn,7.5,110.0,Không,True,True,5.0,22.0,3
 Cần Giuộc,An Khê,thanh khê,6.95,110.0,Không,True,True,5.0,22.0,3
 Tiên Sơn,Hòa Cường Nam,hải châu,6.9,8.0,Không,True,True,5.0,1.6,3
 Vùng Trung 3,Hòa Hải,ngũ hành sơn,7.9,185.0,Không,True,True,7.5,24.666666666666668,3
 Khuê Mỹ Đông,Mỹ An,ngũ hành sơn,9.3,75.0,Không,True,True,5.0,15.0,3
 Lê Thị Hồng Gấm,Hòa Cường Nam,hải châu,5.8,74.0,Không,True,True,5.0,14.8,1
 Dương Quảng Hàm,Khuê Trung,cẩm lệ,6.1,85.0,Không,True,True,5.0,17.0,3
 Dương Quảng Hàm,Hòa Cường Bắc,hải châu,6.15,95.0,Không,True,True,5.0,19.0,3
 Lê Thanh Nghị,Khuê Trung,cẩm lệ,6.5,116.0,Không,True,True,5.0,23.2,3
 Thanh Thủy,Thanh Bình,hải châu,6.3,70.0,Không,True,True,5.0,14.0,1
 Lý Triện,An Khê,thanh khê,6.6,105.0,Không,True,True,5.0,21.0,3
 Thái Thị Bôi,An Khê,thanh khê,6.6,115.0,Không,True,True,5.5,20.90909090909091,3
