Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Phan Đăng Lưu,Hòa Cường Nam,hải châu,7.6,78,Không,Nhà mặt tiền,Không có,,,3,"16.03665,108.21825"
 Mai Đăng Chơn,Hòa Quý,ngũ hành sơn,15,370,Không,Nhà mặt tiền,Không có,,,3,"15.97666,108.23309"
 Nguyễn Hữu Thọ,Hòa Cường Nam,hải châu,52,500,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,20,25,3,"16.03954,108.21035"
 Trưng Nữ Vương,Bình Thuận,hải châu,27,,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,8,22,1,"16.05375,108.21903"
 Dương Đức Hiền,Hòa Minh,liên chiểu,2.65,7,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16,1,"16.08288,108.16057"
 Tế Hanh,Hòa Xuân,cẩm lệ,3.95,11,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,22.5,2,"15.98764,108.21322"
 Ngô Quyền,An Hải Bắc,sơn trà,8.2,85,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,6,14.4,3,"16.09631,108.24529"
 Đào Sư Tích,Hòa Minh,liên chiểu,3.85,60,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,3.99,16.74,3,"16.05359,108.16691"
 Nguyễn Đỗ Cung,Hòa Minh,liên chiểu,5,110,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,22,2,"16.06062,108.17027"
 Hà Huy Tập,Xuân Hà,thanh khê,11.5,98,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,5,"16.0704,108.19171"
 Dương Vân Nga,Nại Hiên Đông,sơn trà,6.8,100,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,4,"16.09172,108.23162"
 Phạm Văn Bạch,Hòa Cường Nam,hải châu,4.5,76,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4,19,1,"16.03197,108.22656"
