 Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,7.65,90,Không,Nhà mặt tiền,Không có,4.5,20,1,"16.04088,108.21625"
 Nguyễn Tri Phương,Thạc Gián,thanh khê,31,78,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10,29,3,"16.06071,108.20523"
 Hải Hồ,Thuận Phước,hải châu,11,76,Không,Nhà mặt tiền,Không có,7,11,3,"16.08023,108.21557"
 Nguyễn Tri Phương,Thạc Gián,thanh khê,31,78,Không,Nhà mặt tiền,Không có,9.6,29,3,"16.06071,108.20523"
 Xô Viết Nghệ Tĩnh,Hòa Cường Nam,hải châu,24,190,Không,Nhà mặt tiền,Không có,10,19,2,"16.03246,108.21877"
 Hà Tông Quyền,Khuê Trung,cẩm lệ,8,100,Không,Nhà mặt tiền,Không có,5,20,4,"16.01910973,108.20313263"
 Nguyễn Phẩm,Hòa Cường Bắc,hải châu,6.8,81,Không,Nhà mặt tiền,Không có,4.5,18,3,"16.0379,108.21496"
 Núi Thành,Hòa Cường Bắc,hải châu,14.5,106,Không,Nhà mặt tiền,Không có,6.2,17,3,"16.03194,108.22279"
 Lê Đình Thám,Hòa Thuận Đông,hải châu,13,90,Không,Nhà mặt tiền,Không có,5,18,3,"16.04967,108.21624"
 Phan Đăng Lưu,Hòa Cường Nam,hải châu,13,99,Không,Nhà mặt tiền,Không có,5,19,1,"16.03665,108.21825"
 Phạm Văn Tráng,Hòa Khánh Bắc,liên chiểu,10.5,174,Không,Nhà mặt tiền,Không có,9.5,20,3,"16.07905,108.14686"
 Hải Hồ,Thuận Phước,hải châu,11,76,Không,Nhà mặt tiền,Không có,7.1,11,3,"16.08023,108.21557"
 Cù Chính Lan,Hòa Khê,thanh khê,9.5,9,Không,Nhà mặt tiền,Không có,11,19,1,"16.0714016,108.19120789"
 Trần Văn Dư,Mỹ An,ngũ hành sơn,22.3,55,Không,Nhà mặt tiền,Không có,12.75,20,4,"16.04149,108.24495"
 Phan Văn Trị,Khuê Trung,cẩm lệ,11,198,Không,Nhà mặt tiền,Không có,11,19,3,"16.01724,108.20838"
 Phan Châu Trinh,Phước Ninh,hải châu,13,84,Không,Nhà mặt tiền,Không có,4.5,19,3,"16.05775,108.21896"
 Duy Tân,Hòa Thuận Đông,hải châu,22.1,7,Không,Nhà mặt tiền,Không có,9,23,2,"16.05102,108.20813"
 Hải Hồ,Thanh Bình,hải châu,4.9,68,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15,2,"16.08023,108.21557"
 Nguyễn Văn Linh,Hòa Thuận Tây,hải châu,6.2,90,Không,Nhà mặt tiền,Không có,5,18,3,"16.06072,108.21685"
 Nguyễn Đình Tứ,Hòa An,cẩm lệ,5.3,100,Không,Nhà mặt tiền,Không có,5,20,1,"16.04974,108.17602"
 Trần Văn Dư,Mỹ An,ngũ hành sơn,13.7,31,Không,Nhà mặt tiền,Không có,8.5,27,1,"16.04149,108.24495"
 Thái Thị Bôi,Chính Gián,thanh khê,5.9,87,Không,Nhà mặt tiền,Không có,3.8,17,2,"16.06831,108.1972"
